Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ORF)
A0A7K7PBY9	unreviewed	A0A7K7PBY9_ACRAR	Peroxisomal acyl-coenzyme A oxidase 1 (EC 1.3.3.6) (Palmitoyl-CoA oxidase) (Peroxisomal fatty acyl-CoA oxidase) (Straight-chain acyl-CoA oxidase)	Acox1 ACRARU_R03168	Acrocephalus arundinaceus (Great reed-warbler)	666	ACRARU_R03168
A0A7K7PC70	unreviewed	A0A7K7PC70_ACRAR	Protein-glutamine gamma-glutamyltransferase 2 (EC 2.3.2.13) (EC 3.5.1.44) (Isopeptidase TGM2) (Protein-glutamine deamidase TGM2) (Protein-glutamine dopaminyltransferase TGM2) (Protein-glutamine histaminyltransferase TGM2) (Protein-glutamine noradrenalinyltransferase TGM2) (Protein-glutamine serotonyltransferase TGM2) (Tissue transglutaminase) (Transglutaminase-2)	Tgl2 ACRARU_R04639	Acrocephalus arundinaceus (Great reed-warbler)	688	ACRARU_R04639
A0A7K7PC73	unreviewed	A0A7K7PC73_ACRAR	Prostaglandin reductase 1 (EC 1.3.1.48) (EC 1.3.1.74) (15-oxoprostaglandin 13-reductase) (Dithiolethione-inducible gene 1 protein) (Leukotriene B4 12-hydroxydehydrogenase) (NAD(P)H-dependent alkenal/one oxidoreductase)	Ptgr1 ACRARU_R11236	Acrocephalus arundinaceus (Great reed-warbler)	332	ACRARU_R11236
A0A7K7PDU6	unreviewed	A0A7K7PDU6_ACRAR	Cytosolic purine 5'-nucleotidase (EC 2.7.1.77) (EC 3.1.3.5) (EC 3.1.3.99) (Cytosolic nucleoside phosphotransferase 5'N)	Nt5c2_0 ACRARU_R03406	Acrocephalus arundinaceus (Great reed-warbler)	508	ACRARU_R03406
A0A7K7PGS0	unreviewed	A0A7K7PGS0_ACRAR	Fatty acid synthase (EC 1.1.1.100) (EC 1.3.1.39) (EC 2.3.1.38) (EC 2.3.1.39) (EC 2.3.1.41) (EC 2.3.1.85) (EC 3.1.2.14) (EC 4.2.1.59)	Fasn ACRARU_R14495	Acrocephalus arundinaceus (Great reed-warbler)	2517	ACRARU_R14495
A0A7K7PIT4	unreviewed	A0A7K7PIT4_ACRAR	ATP-binding cassette sub-family B member 6 (EC 7.6.2.5) (ABC-type heme transporter ABCB6)	Abcb6 ACRARU_R13167	Acrocephalus arundinaceus (Great reed-warbler)	840	ACRARU_R13167
A0A7K7PL52	unreviewed	A0A7K7PL52_ACRAR	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN (EC 3.1.3.16) (EC 3.1.3.48) (EC 3.1.3.67) (Inositol polyphosphate 3-phosphatase) (Phosphatase and tensin homolog)	Pten ACRARU_R10426	Acrocephalus arundinaceus (Great reed-warbler)	403	ACRARU_R10426
A0A7K7PLD8	unreviewed	A0A7K7PLD8_ACRAR	Broad substrate specificity ATP-binding cassette transporter ABCG2 (EC 7.6.2.2) (ATP-binding cassette sub-family G member 2) (Urate exporter)	Abcg2_0 ACRARU_R09063	Acrocephalus arundinaceus (Great reed-warbler)	631	ACRARU_R09063
A0A7K7PLT5	unreviewed	A0A7K7PLT5_ACRAR	Annexin	Cp37 ACRARU_R12509	Acrocephalus arundinaceus (Great reed-warbler)	320	ACRARU_R12509
A0A7K7PX94	unreviewed	A0A7K7PX94_ACRAR	Lysosomal phospholipase A and acyltransferase (EC 3.1.1.32) (EC 3.1.1.4) (EC 3.1.1.5) (1-O-acylceramide synthase) (LCAT-like lysophospholipase) (Lysophospholipase 3) (Lysosomal phospholipase A2) (Phospholipase A2 group XV)	Pla2g15 ACRARU_R14205	Acrocephalus arundinaceus (Great reed-warbler)	370	ACRARU_R14205
A0A7K7PY10	unreviewed	A0A7K7PY10_ACRAR	P20D1 hydrolase	Pm20d1 ACRARU_R09755	Acrocephalus arundinaceus (Great reed-warbler)	514	ACRARU_R09755
A0A7K7Q0Y8	unreviewed	A0A7K7Q0Y8_ACRAR	Choline/ethanolaminephosphotransferase 1 (EC 2.7.8.1) (EC 2.7.8.2) (EC 2.7.8.22) (1-alkenyl-2-acylglycerol choline phosphotransferase)	Cept1_1 ACRARU_R01438	Acrocephalus arundinaceus (Great reed-warbler)	168	ACRARU_R01438
A0A7K7P0Q0	unreviewed	A0A7K7P0Q0_ACRAR	Cytosol aminopeptidase (EC 3.4.11.1) (EC 3.4.11.5) (EC 3.4.13.23) (Cysteinylglycine-S-conjugate dipeptidase) (Leucine aminopeptidase 3) (Leucyl aminopeptidase) (Proline aminopeptidase) (Prolyl aminopeptidase)	Lap3 ACRARU_R03279	Acrocephalus arundinaceus (Great reed-warbler)	486	ACRARU_R03279
A0A7K7P173	unreviewed	A0A7K7P173_ACRAR	receptor protein-tyrosine kinase (EC 2.7.10.1) (Tyrosine-protein kinase Kit)	Kit_0 ACRARU_R00155	Acrocephalus arundinaceus (Great reed-warbler)	938	ACRARU_R00155
A0A7K7P1W3	unreviewed	A0A7K7P1W3_ACRAR	Lanosterol 14-alpha demethylase (EC 1.14.14.154)	Cyp39a1 ACRARU_R00047	Acrocephalus arundinaceus (Great reed-warbler)	448	ACRARU_R00047
A0A7K7P204	unreviewed	A0A7K7P204_ACRAR	Tyrosine-protein kinase (EC 2.7.10.2)	Lyn ACRARU_R10258	Acrocephalus arundinaceus (Great reed-warbler)	513	ACRARU_R10258
A0A7K7P225	unreviewed	A0A7K7P225_ACRAR	Sodium-coupled neutral amino acid symporter 2 (Amino acid transporter A2) (Solute carrier family 38 member 2) (System A amino acid transporter 2) (System A transporter 1) (System N amino acid transporter 2)	Slc38a2 ACRARU_R06138	Acrocephalus arundinaceus (Great reed-warbler)	504	ACRARU_R06138
A0A7K7P277	unreviewed	A0A7K7P277_ACRAR	Hepatocyte growth factor receptor (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (Tyrosine-protein kinase Met)	Met ACRARU_R03320	Acrocephalus arundinaceus (Great reed-warbler)	1382	ACRARU_R03320
A0A7K7P2S9	unreviewed	A0A7K7P2S9_ACRAR	Serine/threonine-protein kinase receptor (EC 2.7.11.30)	Tgfbr2_0 ACRARU_R07738	Acrocephalus arundinaceus (Great reed-warbler)	529	ACRARU_R07738
A0A7K7P2V6	unreviewed	A0A7K7P2V6_ACRAR	glycerophosphocholine cholinephosphodiesterase (EC 3.1.4.38) (Choline-specific glycerophosphodiester phosphodiesterase) (Ectonucleotide pyrophosphatase/phosphodiesterase family member 6)	Enpp6 ACRARU_R06036	Acrocephalus arundinaceus (Great reed-warbler)	438	ACRARU_R06036
A0A7K7P3T5	unreviewed	A0A7K7P3T5_ACRAR	non-specific serine/threonine protein kinase (EC 2.7.11.1)	Rock2 ACRARU_R06689	Acrocephalus arundinaceus (Great reed-warbler)	1396	ACRARU_R06689
A0A7K7P427	unreviewed	A0A7K7P427_ACRAR	Glutathione hydrolase (EC 2.3.2.2) (EC 3.4.19.13) (Gamma-glutamyltransferase) (Gamma-glutamyltranspeptidase)	Ggt5 ACRARU_R01538	Acrocephalus arundinaceus (Great reed-warbler)	585	ACRARU_R01538
A0A7K7P445	unreviewed	A0A7K7P445_ACRAR	non-specific serine/threonine protein kinase (EC 2.7.11.1)	Myo3b_0 ACRARU_R11646	Acrocephalus arundinaceus (Great reed-warbler)	1325	ACRARU_R11646
A0A7K7P4P6	unreviewed	A0A7K7P4P6_ACRAR	Glutathione hydrolase (EC 2.3.2.2) (EC 3.4.19.13) (Gamma-glutamyltransferase) (Gamma-glutamyltranspeptidase)	Ggt1 ACRARU_R01657	Acrocephalus arundinaceus (Great reed-warbler)	572	ACRARU_R01657
A0A7K7P4X0	unreviewed	A0A7K7P4X0_ACRAR	Kidney mitochondrial carrier protein 1 (Solute carrier family 25 member 30)	Slc25a30 ACRARU_R03567	Acrocephalus arundinaceus (Great reed-warbler)	291	ACRARU_R03567
A0A7K7P5B8	unreviewed	A0A7K7P5B8_ACRAR	Alpha-ketoglutarate-dependent dioxygenase FTO (EC 1.14.11.53) (U6 small nuclear RNA (2'-O-methyladenosine-N(6)-)-demethylase FTO) (U6 small nuclear RNA N(6)-methyladenosine-demethylase FTO) (mRNA (2'-O-methyladenosine-N(6)-)-demethylase FTO) (mRNA N(6)-methyladenosine demethylase FTO) (tRNA N1-methyl adenine demethylase FTO)	Fto ACRARU_R14397	Acrocephalus arundinaceus (Great reed-warbler)	423	ACRARU_R14397
A0A7K7P5M5	unreviewed	A0A7K7P5M5_ACRAR	Cholesteryl ester transfer protein	Cetp ACRARU_R08786	Acrocephalus arundinaceus (Great reed-warbler)	506	ACRARU_R08786
A0A7K7P6T5	unreviewed	A0A7K7P6T5_ACRAR	RING-type E3 ubiquitin transferase (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF6)	Traf6 ACRARU_R13395	Acrocephalus arundinaceus (Great reed-warbler)	545	ACRARU_R13395
A0A7K7P740	unreviewed	A0A7K7P740_ACRAR	V(D)J recombination-activating protein 1 (EC 2.3.2.27) (EC 3.1.-.-)	Rag1 ACRARU_R06552	Acrocephalus arundinaceus (Great reed-warbler)	1036	ACRARU_R06552
A0A7K7P756	unreviewed	A0A7K7P756_ACRAR	receptor protein-tyrosine kinase (EC 2.7.10.1)	Csf1r ACRARU_R07407	Acrocephalus arundinaceus (Great reed-warbler)	951	ACRARU_R07407
A0A7K7P7C8	unreviewed	A0A7K7P7C8_ACRAR	72 kDa type IV collagenase (EC 3.4.24.24) (72 kDa gelatinase) (Matrix metalloproteinase-2)	Mmp2 ACRARU_R03497	Acrocephalus arundinaceus (Great reed-warbler)	661	ACRARU_R03497
A0A7K7P7D8	unreviewed	A0A7K7P7D8_ACRAR	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A (EC 2.4.1.145) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase IVa) (UDP-N-acetylglucosamine: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase IVa)	Mgat4a ACRARU_R10611	Acrocephalus arundinaceus (Great reed-warbler)	539	ACRARU_R10611
A0A7K7P8K7	unreviewed	A0A7K7P8K7_ACRAR	Prostaglandin G/H synthase 2 (EC 1.14.99.1) (Cyclooxygenase-2) (PHS II) (Prostaglandin H2 synthase 2) (Prostaglandin-endoperoxide synthase 2)	Ptgs2 ACRARU_R06538	Acrocephalus arundinaceus (Great reed-warbler)	571	ACRARU_R06538
A0A7K7P8Q3	unreviewed	A0A7K7P8Q3_ACRAR	Potassium channel subfamily K member 1	Kcnk1 ACRARU_R02372	Acrocephalus arundinaceus (Great reed-warbler)	251	ACRARU_R02372
A0A7K7P8V2	unreviewed	A0A7K7P8V2_ACRAR	1-acylglycerol-3-phosphate O-acyltransferase ABHD5 (EC 2.3.1.51) (Abhydrolase domain-containing protein 5)	Abhd5 ACRARU_R07864	Acrocephalus arundinaceus (Great reed-warbler)	334	ACRARU_R07864
A0A7K7P9H4	unreviewed	A0A7K7P9H4_ACRAR	Phosphoenolpyruvate carboxykinase, cytosolic [GTP] (EC 4.1.1.32) (Serine-protein kinase PCK1)	Pck1 ACRARU_R05371	Acrocephalus arundinaceus (Great reed-warbler)	622	ACRARU_R05371
A0A7K7P9K5	unreviewed	A0A7K7P9K5_ACRAR	Carnitine O-palmitoyltransferase 2, mitochondrial (EC 2.3.1.21) (Carnitine palmitoyltransferase II)	Cpt2 ACRARU_R02067	Acrocephalus arundinaceus (Great reed-warbler)	639	ACRARU_R02067
A0A7K7P9M0	unreviewed	A0A7K7P9M0_ACRAR	Serine/threonine-protein kinase receptor (EC 2.7.11.30)	Tgfbr2_1 ACRARU_R13302	Acrocephalus arundinaceus (Great reed-warbler)	560	ACRARU_R13302
A0A7K7PA95	unreviewed	A0A7K7PA95_ACRAR	Transporter	Slc6a15 ACRARU_R12617	Acrocephalus arundinaceus (Great reed-warbler)	729	ACRARU_R12617
A0A7K7PB97	unreviewed	A0A7K7PB97_ACRAR	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	Gapdh ACRARU_R01510	Acrocephalus arundinaceus (Great reed-warbler)	325	ACRARU_R01510
A0A7K7PBT5	unreviewed	A0A7K7PBT5_ACRAR	TNR5 factor	Cd40 ACRARU_R04635	Acrocephalus arundinaceus (Great reed-warbler)	277	ACRARU_R04635
A0A7K7PC96	unreviewed	A0A7K7PC96_ACRAR	Hexokinase-1 (EC 2.7.1.1) (Hexokinase type I)	Hk1_1 ACRARU_R01521	Acrocephalus arundinaceus (Great reed-warbler)	891	ACRARU_R01521
A0A7K7PCD1	unreviewed	A0A7K7PCD1_ACRAR	Matrix metalloproteinase-9 (EC 3.4.24.35) (92 kDa gelatinase) (92 kDa type IV collagenase) (Gelatinase B)	Mmp9 ACRARU_R04634	Acrocephalus arundinaceus (Great reed-warbler)	711	ACRARU_R04634
A0A7K7PCG7	unreviewed	A0A7K7PCG7_ACRAR	KAD1 kinase	Ak1 ACRARU_R00489	Acrocephalus arundinaceus (Great reed-warbler)	183	ACRARU_R00489
A0A7K7PCI7	unreviewed	A0A7K7PCI7_ACRAR	Hexokinase-1 (EC 2.7.1.1) (Hexokinase type I)	Hk1_0 ACRARU_R01517	Acrocephalus arundinaceus (Great reed-warbler)	900	ACRARU_R01517
A0A7K7PD04	unreviewed	A0A7K7PD04_ACRAR	Kynurenine--oxoglutarate transaminase 3 (EC 2.6.1.63) (EC 2.6.1.7) (EC 4.4.1.13) (Cysteine-S-conjugate beta-lyase 2) (Kynurenine aminotransferase 3) (Kynurenine aminotransferase III) (Kynurenine--glyoxylate transaminase) (Kynurenine--oxoglutarate transaminase III)	Kyat3 ACRARU_R08397	Acrocephalus arundinaceus (Great reed-warbler)	400	ACRARU_R08397
A0A7K7PDD9	unreviewed	A0A7K7PDD9_ACRAR	Glycogen synthase kinase-3 beta (EC 2.7.11.26)	Gsk3b ACRARU_R09413	Acrocephalus arundinaceus (Great reed-warbler)	401	ACRARU_R09413
A0A7K7PEE2	unreviewed	A0A7K7PEE2_ACRAR	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	Agpat1_0 ACRARU_R08890	Acrocephalus arundinaceus (Great reed-warbler)	237	ACRARU_R08890
A0A7K7PG48	unreviewed	A0A7K7PG48_ACRAR	Long-chain specific acyl-CoA dehydrogenase, mitochondrial (EC 1.3.8.8)	Acadl ACRARU_R06336	Acrocephalus arundinaceus (Great reed-warbler)	407	ACRARU_R06336
A0A7K7PH79	unreviewed	A0A7K7PH79_ACRAR	Oxidized purine nucleoside triphosphate hydrolase (EC 3.6.1.56) (2-hydroxy-dATP diphosphatase) (7,8-dihydro-8-oxoguanine triphosphatase) (8-oxo-dGTPase) (Methylated purine nucleoside triphosphate hydrolase) (Nucleoside diphosphate-linked moiety X motif 1)	Nudt1 ACRARU_R04221	Acrocephalus arundinaceus (Great reed-warbler)	159	ACRARU_R04221
A0A7K7PH80	unreviewed	A0A7K7PH80_ACRAR	Beta-hexosaminidase subunit beta (EC 3.2.1.52) (Beta-N-acetylhexosaminidase subunit beta) (N-acetyl-beta-glucosaminidase subunit beta)	Hexb ACRARU_R13836	Acrocephalus arundinaceus (Great reed-warbler)	543	ACRARU_R13836
A0A7K7PHD1	unreviewed	A0A7K7PHD1_ACRAR	Cytosolic non-specific dipeptidase (EC 3.4.13.18) (CNDP dipeptidase 2) (Threonyl dipeptidase)	Cndp2 ACRARU_R02202	Acrocephalus arundinaceus (Great reed-warbler)	475	ACRARU_R02202
A0A7K7PHU5	unreviewed	A0A7K7PHU5_ACRAR	Solute carrier family 22 member 1 (Organic cation transporter 1)	Slc22a2 ACRARU_R02022	Acrocephalus arundinaceus (Great reed-warbler)	533	ACRARU_R02022
A0A7K7PIQ7	unreviewed	A0A7K7PIQ7_ACRAR	Myotubularin (EC 3.1.3.95) (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (Phosphatidylinositol-3-phosphate phosphatase)	Mtm1 ACRARU_R10529	Acrocephalus arundinaceus (Great reed-warbler)	603	ACRARU_R10529
A0A7K7PIY6	unreviewed	A0A7K7PIY6_ACRAR	CADH2 protein	Cdh2 ACRARU_R02472	Acrocephalus arundinaceus (Great reed-warbler)	888	ACRARU_R02472
A0A7K7PJ70	unreviewed	A0A7K7PJ70_ACRAR	Non-selective voltage-gated ion channel VDAC1 (Voltage-dependent anion-selective channel protein 1)	Vdac1 ACRARU_R09491	Acrocephalus arundinaceus (Great reed-warbler)	285	ACRARU_R09491
A0A7K7PJD8	unreviewed	A0A7K7PJD8_ACRAR	Fucosyltransferase (EC 2.4.1.-)	Fut9 ACRARU_R14585	Acrocephalus arundinaceus (Great reed-warbler)	359	ACRARU_R14585
A0A7K7PJQ0	unreviewed	A0A7K7PJQ0_ACRAR	Aldehyde dehydrogenase family 3 member A2 (EC 1.2.1.3) (EC 1.2.1.94) (Fatty aldehyde dehydrogenase)	Aldh3a2 ACRARU_R11719	Acrocephalus arundinaceus (Great reed-warbler)	453	ACRARU_R11719
A0A7K7PJR2	unreviewed	A0A7K7PJR2_ACRAR	tRNA (cytosine(34)-C(5))-methyltransferase (EC 2.1.1.203) (NOL1/NOP2/Sun domain family member 2) (mRNA cytosine C(5)-methyltransferase) (tRNA cytosine C(5)-methyltransferase)	Nsun2 ACRARU_R08405	Acrocephalus arundinaceus (Great reed-warbler)	820	ACRARU_R08405
A0A7K7PK20	unreviewed	A0A7K7PK20_ACRAR	Multiple inositol polyphosphate phosphatase 1 (EC 3.1.3.62) (EC 3.1.3.80) (2,3-bisphosphoglycerate 3-phosphatase)	Minpp1 ACRARU_R10427	Acrocephalus arundinaceus (Great reed-warbler)	470	ACRARU_R10427
A0A7K7PK31	unreviewed	A0A7K7PK31_ACRAR	G-protein coupled estrogen receptor 1 (G protein-coupled estrogen receptor 1) (G-protein coupled receptor 30)	Gper1 ACRARU_R04415	Acrocephalus arundinaceus (Great reed-warbler)	357	ACRARU_R04415
A0A7K7PK92	unreviewed	A0A7K7PK92_ACRAR	receptor protein-tyrosine kinase (EC 2.7.10.1)	Tek ACRARU_R12406	Acrocephalus arundinaceus (Great reed-warbler)	1127	ACRARU_R12406
A0A7K7PKB8	unreviewed	A0A7K7PKB8_ACRAR	Prostaglandin G/H synthase 1 (EC 1.14.99.1) (Cyclooxygenase-1) (Prostaglandin H2 synthase 1) (Prostaglandin-endoperoxide synthase 1)	Ptgs1 ACRARU_R00735	Acrocephalus arundinaceus (Great reed-warbler)	598	ACRARU_R00735
A0A7K7PLB6	unreviewed	A0A7K7PLB6_ACRAR	Cystic fibrosis transmembrane conductance regulator (EC 5.6.1.6) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (cAMP-dependent chloride channel)	Cftr ACRARU_R09982	Acrocephalus arundinaceus (Great reed-warbler)	1470	ACRARU_R09982
A0A7K7PLP2	unreviewed	A0A7K7PLP2_ACRAR	Tyrosine-protein kinase receptor (EC 2.7.10.1)	Ntrk2 ACRARU_R02530	Acrocephalus arundinaceus (Great reed-warbler)	649	ACRARU_R02530
A0A7K7PM31	unreviewed	A0A7K7PM31_ACRAR	Glucosylceramidase (EC 3.2.1.45)	Gba_4 ACRARU_R10155	Acrocephalus arundinaceus (Great reed-warbler)	190	ACRARU_R10155
A0A7K7PM48	unreviewed	A0A7K7PM48_ACRAR	Glucosylceramidase (EC 3.2.1.45)	Gba_1 ACRARU_R10148	Acrocephalus arundinaceus (Great reed-warbler)	191	ACRARU_R10148
A0A7K7PM93	unreviewed	A0A7K7PM93_ACRAR	Glucosylceramidase (EC 3.2.1.45)	Gba_3 ACRARU_R10154	Acrocephalus arundinaceus (Great reed-warbler)	165	ACRARU_R10154
A0A7K7PMF8	unreviewed	A0A7K7PMF8_ACRAR	Peroxisomal bifunctional enzyme (Multifunctional enzyme 1)	Ehhadh_0 ACRARU_R00727	Acrocephalus arundinaceus (Great reed-warbler)	164	ACRARU_R00727
A0A7K7PMG3	unreviewed	A0A7K7PMG3_ACRAR	Mitochondrial uncoupling protein 2 (Solute carrier family 25 member 8)	Ucp3 ACRARU_R03999	Acrocephalus arundinaceus (Great reed-warbler)	238	ACRARU_R03999
A0A7K7PMK6	unreviewed	A0A7K7PMK6_ACRAR	Glucosylceramidase (EC 3.2.1.45)	Gba_2 ACRARU_R10153	Acrocephalus arundinaceus (Great reed-warbler)	460	ACRARU_R10153
A0A7K7PML7	unreviewed	A0A7K7PML7_ACRAR	Glucosylceramidase (EC 3.2.1.45)	Gba_0 ACRARU_R10147	Acrocephalus arundinaceus (Great reed-warbler)	192	ACRARU_R10147
A0A7K7PNF2	unreviewed	A0A7K7PNF2_ACRAR	Ras-related protein Rab-8A (EC 3.6.5.2)	Rab8a ACRARU_R10438	Acrocephalus arundinaceus (Great reed-warbler)	207	ACRARU_R10438
A0A7K7PPC3	unreviewed	A0A7K7PPC3_ACRAR	D-amino-acid oxidase (EC 1.4.3.3)	Dao_0 Dao_1 ACRARU_R01063 ACRARU_R01064	Acrocephalus arundinaceus (Great reed-warbler)	348	ACRARU_R01063 ACRARU_R01064
A0A7K7PPE8	unreviewed	A0A7K7PPE8_ACRAR	Amyloid-beta A4 protein	App ACRARU_R11265	Acrocephalus arundinaceus (Great reed-warbler)	740	ACRARU_R11265
A0A7K7PPQ5	unreviewed	A0A7K7PPQ5_ACRAR	HNRPU protein	Hnrnpu ACRARU_R14156	Acrocephalus arundinaceus (Great reed-warbler)	603	ACRARU_R14156
A0A7K7PRA9	unreviewed	A0A7K7PRA9_ACRAR	Dystroglycan 1 (Dystroglycan) (Dystrophin-associated glycoprotein 1)	Dag1 ACRARU_R12610	Acrocephalus arundinaceus (Great reed-warbler)	897	ACRARU_R12610
A0A7K7PS22	unreviewed	A0A7K7PS22_ACRAR	Acyltransferase (EC 2.3.1.-)	Dgat2_0 ACRARU_R14040	Acrocephalus arundinaceus (Great reed-warbler)	358	ACRARU_R14040
A0A7K7PSF1	unreviewed	A0A7K7PSF1_ACRAR	Beta-secretase 1 (EC 3.4.23.46) (Beta-site amyloid precursor protein cleaving enzyme 1) (Memapsin-2) (Membrane-associated aspartic protease 2)	Bace1 ACRARU_R13911	Acrocephalus arundinaceus (Great reed-warbler)	441	ACRARU_R13911
A0A7K7PSF5	unreviewed	A0A7K7PSF5_ACRAR	11-beta-hydroxysteroid dehydrogenase 1 (EC 1.1.1.146) (EC 1.1.1.201) (7-oxosteroid reductase) (Corticosteroid 11-beta-dehydrogenase isozyme 1)	Hsd11b1_0 ACRARU_R01973	Acrocephalus arundinaceus (Great reed-warbler)	292	ACRARU_R01973
A0A7K7PSS5	unreviewed	A0A7K7PSS5_ACRAR	Phosphatidate cytidylyltransferase (EC 2.7.7.41)	Cds2 ACRARU_R05485	Acrocephalus arundinaceus (Great reed-warbler)	429	ACRARU_R05485
A0A7K7PTH3	unreviewed	A0A7K7PTH3_ACRAR	Elongation of very long chain fatty acids protein (EC 2.3.1.199) (Very-long-chain 3-oxoacyl-CoA synthase)	Elovl5 ACRARU_R08428	Acrocephalus arundinaceus (Great reed-warbler)	295	ACRARU_R08428
A0A7K7PTX0	unreviewed	A0A7K7PTX0_ACRAR	Delta(14)-sterol reductase LBR (C14SR) (Delta-14-SR) (EC 1.3.1.70) (3-beta-hydroxysterol Delta (14)-reductase) (C-14 sterol reductase) (Integral nuclear envelope inner membrane protein) (Lamin-B receptor) (Sterol C14-reductase)	Lbr ACRARU_R02787	Acrocephalus arundinaceus (Great reed-warbler)	612	ACRARU_R02787
A0A7K7PU28	unreviewed	A0A7K7PU28_ACRAR	5'-AMP-activated protein kinase catalytic subunit alpha-2 (EC 2.7.11.1) (EC 2.7.11.31) (Acetyl-CoA carboxylase kinase) (Hydroxymethylglutaryl-CoA reductase kinase)	Prkaa2 ACRARU_R08327	Acrocephalus arundinaceus (Great reed-warbler)	551	ACRARU_R08327
